name,url,remote_testing,adaptive_irt,duration,test_type
Proof Operator - Processing Specialist -Short Form,https://www.shl.com/products/product-catalog/view/proof-operator-processing-specialist-short-form/,False,False,1,Simulations
Reservation Agent Solution,https://www.shl.com/products/product-catalog/view/reservation-agent-solution/,False,False,1,"Ability & Aptitude, Personality & Behavior, Simulations, Biodata & Situational Judgement"
Restaurant Manager Solution,https://www.shl.com/products/product-catalog/view/restaurant-manager-solution/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations"
Restaurant Supervisor Solution,https://www.shl.com/products/product-catalog/view/restaurant-supervisor-solution/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Retail Consultant Solution,https://www.shl.com/products/product-catalog/view/retail-consultant-solution/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Retail Manager w/ Sales Solution,https://www.shl.com/products/product-catalog/view/retail-manager-w-sales-solution/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Retail Sales Associate Solution,https://www.shl.com/products/product-catalog/view/retail-sales-associate-solution/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Sales Director Solution,https://www.shl.com/products/product-catalog/view/sales-director-solution/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Sales Engineer Solution,https://www.shl.com/products/product-catalog/view/sales-engineer-solution/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior, Simulations"
Sales Manager Solution,https://www.shl.com/products/product-catalog/view/sales-manager-solution/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Sales Professional 7.0 Solution,https://www.shl.com/products/product-catalog/view/sales-professional-7-0-solution/,False,False,1,"Competencies, Biodata & Situational Judgement"
Sales Professional 7.1 (Americas),https://www.shl.com/products/product-catalog/view/sales-professional-7-1-%28americas%29/,False,False,1,"Biodata & Situational Judgement, Competencies"
Nursing Assistant Solution,https://www.shl.com/products/product-catalog/view/nursing-assistant-solution/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Personal Banker - Short Form,https://www.shl.com/products/product-catalog/view/personal-banker-short-form/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior, Simulations"
Phone Banker - Short Form,https://www.shl.com/products/product-catalog/view/phone-banker-short-form/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Prep/Line Cook Solution,https://www.shl.com/products/product-catalog/view/prepline-cook-solution/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Professional + 7.0 Solution,https://www.shl.com/products/product-catalog/view/professional-7-0-solution-3958/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Competencies"
Professional + 7.1 (Americas),https://www.shl.com/products/product-catalog/view/professional-7-1-%28americas%29/,False,False,1,"Biodata & Situational Judgement, Competencies, Personality & Behavior"
Professional + 7.1 (International),https://www.shl.com/products/product-catalog/view/professional-7-1-solution/,False,False,1,"Biodata & Situational Judgement, Competencies, Personality & Behavior"
